"Package","Version"
"ape","5.8-1"
"arm","1.14-4"
"asd","2.2"
"ash","1.0-15"
"askpass","1.2.1"
"assertthat","0.2.1"
"babelgene","22.9"
"babynames","1.0.1"
"backports","1.5.0"
"base","4.0.5"
"base64enc","0.1-6"
"basefun","1.2-6"
"batchelor","1.6.3"
"bayestestR","0.17.0"
"bbmle","1.0.25.1"
"bdsmatrix","1.3-7"
"beachmat","2.6.4"
"beeswarm","0.4.0"
"bench","1.1.4"
"betareg","3.2-4"
"bibtex","0.5.2"
"bigassertr","0.1.7"
"biglm","0.9-3"
"bigparallelr","0.3.2"
"bigstatsr","1.6.2"
"bigutilsr","0.3.11"
"biocViews","1.58.1"
"biomaRt","2.46.3"
"bit","4.6.0"
"bit64","4.6.0-1"
"bitops","1.0-9"
"blme","1.0-7"
"blob","1.3.0"
"bookdown","0.46"
"boot","1.3-32"
"brew","1.0-10"
"bridgesampling","1.2-1"
"brio","1.1.5"
"broom","1.0.7"
"broom.mixed","0.2.9.7"
"bsicons","0.1.2"
"bslib","0.10.0"
"ca","0.71.1"
"caTools","1.18.3"
"cachem","1.1.0"
"callr","3.7.6"
"car","3.1-5"
"carData","3.0-6"
"caret","7.0-1"
"catdata","1.2.5"
"ccaPP","0.3.5"
"celldex","1.4.0"
"cellranger","1.1.0"
"checkmate","2.3.4"
"chk","0.10.0"
"chromVAR","1.12.0"
"chromote","0.5.1"
"chron","2.3-62"
"circlize","0.4.17"
"class","7.3-23"
"classInt","0.4-11"
"cli","3.6.5"
"clipr","0.8.0"
"clock","0.7.4"
"clubSandwich","0.6.2"
"clue","0.3-67"
"cluster","2.1.8.2"
"clusterProfiler","3.18.1"
"clustree","0.5.1"
"cmaesr","1.0.3"
"cmapR","1.8.0"
"cmm","1.0"
"coda","0.19-4.1"
"codetools","0.2-20"
"codingMatrices","0.4.0"
"coin","1.4-3"
"colorspace","2.1-2"
"colourpicker","1.3.0"
"combinat","0.0-8"
"commonmark","2.0.0"
"compiler","4.0.5"
"concaveman","1.2.0"
"conf.design","2.0.0"
"config","0.3.2"
"conflicted","1.2.0"
"conquer","1.3.3"
"contfrac","1.1-12"
"coro","1.1.0"
"corpcor","1.6.10"
"correlation","0.8.5"
"corrplot","0.95"
"covr","3.6.5"
"cowplot","1.1.3"
"coxme","2.2-22"
"cplm","0.7-12.1"
"cpp11","0.5.3"
"crayon","1.5.3"
"crch","1.2-2"
"credentials","2.0.3"
"crosstalk","1.2.2"
"crul","1.6.0"
"cubature","2.1.4-1"
"curl","4.3.2"
"cytolib","2.8.0"
"dagitty","0.3-4"
"data.table","1.18.2.1"
"data.tree","1.2.0"
"datasets","4.0.5"
"datawizard","1.3.0"
"dbarts","0.9-32"
"dbplyr","2.5.2"
"dbscan","1.2.4"
"deSolve","1.41"
"decor","1.0.2"
"deldir","2.0-4"
"dendextend","1.19.1"
"densityClust","0.3.3"
"desc","1.4.3"
"destiny","3.4.0"
"devtools","2.4.5"
"dfoptim","2023.1.0"
"diagram","1.6.5"
"dichromat","2.0-0.1"
"diffobj","0.3.6"
"digest","0.6.39"
"diptest","0.77-2"
"distances","0.1.13"
"distributional","0.6.0"
"dittoSeq","1.2.6"
"doMC","1.3.8"
"doParallel","1.0.17"
"doRNG","1.8.6.3"
"docopt","0.7.2"
"domino","0.3.1"
"dotCall64","1.2"
"downlit","0.4.5"
"downloader","0.4.1"
"dplyr","1.1.4"
"dqrng","0.4.1"
"dreamerr","1.5.0"
"dtplyr","1.3.3"
"dygraphs","1.1.1.6"
"dynamicTreeCut","1.63-1"
"e1071","1.7-17"
"earth","5.3.5"
"edgeR","3.32.1"
"effectsize","1.0.1"
"egg","0.4.5"
"ellipse","0.5.0"
"ellipsis","0.3.2"
"elliptic","1.5-1"
"emmeans","1.5.2"
"emoa","0.5-3"
"enrichR","3.4"
"enrichplot","1.10.2"
"ensembldb","2.14.1"
"entropy","1.3.2"
"epiR","2.0.91"
"estimability","1.4.1"
"estimatr","1.0.6"
"evaluate","1.0.5"
"exact2x2","1.7.0"
"exactci","1.4-5"
"expm","1.0-0"
"extrafont","0.20"
"extrafontdb","1.1"
"factoextra","1.0.7"
"fansi","1.0.7"
"farver","2.1.2"
"fastDummies","1.7.5"
"fastGHQuad","1.0.1"
"fastICA","1.2-7"
"fastcluster","1.3.0"
"fastmap","1.2.0"
"fastmatch","1.1-8"
"fdrtool","1.2.18"
"ff","4.5.2"
"fgsea","1.16.0"
"fields","17.1"
"filelock","1.0.3"
"fit.models","0.64"
"fitdistrplus","1.2-6"
"fixest","0.13.2"
"flashClust","1.1-4"
"flexclust","1.5.0"
"flexmix","2.3-20"
"flextable","0.9.10"
"flock","0.7"
"flowCore","2.8.0"
"fmsb","0.7.6"
"fontBitstreamVera","0.1.1"
"fontLiberation","0.1.0"
"fontawesome","0.5.3"
"fontquiver","0.2.1"
"forcats","1.0.0"
"foreach","1.5.2"
"foreign","0.8-91"
"formatR","1.14"
"formula.tools","1.7.1"
"fpc","2.2-14"
"fractional","0.1.3"
"fs","1.6.6"
"ftExtra","0.6.4"
"furrr","0.3.1"
"futile.logger","1.4.9"
"futile.options","1.0.1"
"future","1.69.0"
"future.apply","1.20.2"
"fwb","0.5.1"
"gam","1.22-7"
"gamlss.data","6.0-7"
"gamlss.dist","6.1-1"
"gap","1.14"
"gap.datasets","0.0.6"
"gargle","1.6.0"
"gbRd","0.4.12"
"gbm","2.2.3"
"gclus","1.3.3"
"gdata","3.0.1"
"gdtools","0.4.1"
"gee","4.13-29"
"geepack","1.3.13"
"genefilter","1.72.1"
"geneplotter","1.68.0"
"generics","0.1.4"
"geoR","1.9-6"
"geojsonsf","2.0.5"
"geometries","0.2.5"
"gert","2.3.1"
"gfonts","0.2.0"
"ggExtra","0.11.0"
"ggVennDiagram","1.2.3"
"ggalluvial","0.12.6"
"ggalt","0.4.0"
"ggbeeswarm","0.7.3"
"ggcor","0.9.8.1"
"ggcorrplot","0.1.4.1"
"ggdendro","0.2.0"
"ggfittext","0.10.3"
"ggforce","0.4.2"
"ggfun","0.0.9"
"ggh4x","0.3.0"
"ggnewscale","0.5.2"
